n_threads;time(s);mPow_size
32;0.000646;5
32;0.000446;5
32;0.000397;5
64;0.000815;5
32;0.000565;5
32;0.000642;5
64;0.000951;5
64;0.001226;5
64;0.001031;5
64;0.001046;5
64;0.001198;5
64;0.001183;5
64;0.001048;5
64;0.001048;5
64;0.00104;5
64;0.00099;5
64;0.001002;5
64;0.001166;5
64;0.001229;5
64;0.001233;5
64;0.001204;5
96;0.001294;5
64;0.001149;5
64;0.001475;5
96;0.001576;5
64;0.001495;5
96;0.001551;5
96;0.001736;5
96;0.001633;5
96;0.001656;5
96;0.001535;5
96;0.00155;5
96;0.001643;5
96;0.001482;5
96;0.0017;5
96;0.001337;5
96;0.000893;5
96;0.000924;5
1;2.39999e-05;6
1;1.99999e-05;6
1;1.80001e-05;6
1;1.79999e-05;6
96;0.001072;5
1;2.19999e-05;6
96;0.001611;5
96;0.001509;5
96;0.001582;5
2;0.000267;6
96;0.000963;5
2;0.000359;6
2;0.000151;6
96;0.000728;5
2;5.29999e-05;6
2;7.69999e-05;6
4;5.8e-05;6
1;1.80001e-05;6
4;9.2e-05;6
1;1.90001e-05;6
4;3.1e-05;6
1;1.80001e-05;6
1;1.99999e-05;6
4;6.6e-05;6
1;1.89999e-05;6
1;4.60001e-05;6
4;4.79999e-05;6
1;1.90001e-05;6
1;2.19999e-05;6
1;3.6e-05;6
1;1.99999e-05;6
1;2.09999e-05;6
1;2.19999e-05;6
1;1.99999e-05;6
1;1.89999e-05;6
1;3.3e-05;6
8;0.000106;6
2;4.30001e-05;6
2;4.90001e-05;6
2;6.80001e-05;6
2;4.10001e-05;6
2;3.59998e-05;6
2;5.7e-05;6
8;0.000109;6
2;4.30001e-05;6
2;5.39999e-05;6
8;4.80001e-05;6
2;3.3e-05;6
2;4.00001e-05;6
2;3.1e-05;6
8;8.49999e-05;6
2;5.39999e-05;6
2;7.60001e-05;6
2;3.3e-05;6
2;8.70002e-05;6
8;0.000116;6
4;0.000124;6
4;8.49999e-05;6
4;8.00001e-05;6
4;7.30001e-05;6
4;0.000103;6
4;9.3e-05;6
16;0.000149;6
4;0.00012;6
4;5.5e-05;6
4;0.000114;6
4;9.7e-05;6
16;0.000175;6
4;0.000104;6
4;0.000126;6
4;6.80001e-05;6
16;0.000141;6
4;0.000125;6
4;0.000146;6
16;0.000196;6
8;8.29999e-05;6
8;0.000148;6
16;0.000153;6
8;0.000125;6
8;0.000118;6
8;0.000124;6
8;0.000201;6
8;0.000169;6
8;0.000213;6
8;8.19999e-05;6
8;7.79999e-05;6
8;0.000181;6
8;0.000138;6
8;0.000157;6
8;0.000148;6
32;0.000419;6
8;0.000218;6
16;0.000271;6
32;0.000357;6
16;0.000331;6
16;0.000119;6
16;0.000277;6
16;0.000242;6
16;0.000291;6
32;0.00033;6
16;0.000251;6
16;0.000258;6
16;0.000252;6
32;0.000403;6
16;0.000259;6
16;0.000244;6
16;0.000276;6
32;0.000255;6
16;0.000286;6
16;0.000244;6
16;0.000232;6
32;0.000601;6
32;0.000532;6
32;0.000618;6
64;0.00081;6
32;0.000486;6
32;0.000489;6
32;0.000624;6
32;0.000432;6
32;0.00041;6
64;0.000686;6
32;0.00048;6
32;0.000546;6
32;0.000446;6
64;0.000749;6
32;0.000454;6
32;0.00053;6
32;0.000615;6
64;0.000696;6
32;0.00071;6
64;0.001253;6
64;0.001056;6
64;0.001099;6
64;0.001172;6
64;0.001302;6
64;0.001262;6
64;0.001197;6
64;0.001204;6
64;0.001211;6
64;0.000202;6
96;0.00141;6
64;0.001272;6
96;0.001256;6
64;0.001314;6
64;0.001242;6
64;0.001265;6
64;0.001273;6
64;0.00143;6
96;0.001524;6
96;0.001404;6
96;0.001562;6
96;0.00172;6
96;0.001518;6
96;0.001481;6
96;0.001357;6
96;0.001273;6
96;0.001402;6
96;0.001236;6
96;0.001131;6
96;0.001466;6
1;8.29999e-05;7
1;8.29999e-05;7
1;7.50001e-05;7
1;7.30001e-05;7
1;0.000109;7
96;0.001563;6
96;0.001796;6
96;0.001737;6
2;0.000517;7
96;0.001148;6
96;0.001326;6
96;0.001044;6
2;0.000405;7
2;0.000116;7
2;9.7e-05;7
2;0.000119;7
4;9.49998e-05;7
4;9.7e-05;7
4;8.19999e-05;7
4;0.000105;7
4;0.000161;7
1;7.30001e-05;7
1;7.79999e-05;7
1;8.20002e-05;7
1;7.30001e-05;7
1;0.000261;7
1;0.000131;7
1;7.29999e-05;7
1;7.40001e-05;7
8;0.000119;7
1;8.29999e-05;7
1;7.40001e-05;7
8;9.6e-05;7
1;7.40001e-05;7
1;0.000212;7
1;0.000191;7
1;7.49999e-05;7
8;0.001008;7
1;0.000254;7
2;0.000108;7
2;0.000572;7
8;0.000549;7
2;0.000551;7
2;0.000101;7
2;8.10002e-05;7
8;0.000117;7
2;7.99999e-05;7
2;0.0001;7
2;9.5e-05;7
2;7.89999e-05;7
2;6.99998e-05;7
2;0.000175;7
16;0.000128;7
2;0.000118;7
2;9.99998e-05;7
2;0.000103;7
16;0.00019;7
2;0.000127;7
4;0.000103;7
16;0.000178;7
4;0.000156;7
4;8.30002e-05;7
16;0.00013;7
4;0.000103;7
4;0.000201;7
4;9.99998e-05;7
4;0.00011;7
4;0.000106;7
16;0.000184;7
4;8.39999e-05;7
4;7.59999e-05;7
4;0.000125;7
4;0.000111;7
4;0.000213;7
4;0.000177;7
32;0.000207;7
4;0.000163;7
32;0.000245;7
8;0.000132;7
8;0.000173;7
8;0.000185;7
8;0.000177;7
8;0.000151;7
32;0.000351;7
8;0.000105;7
8;0.000127;7
8;0.000188;7
32;0.000237;7
8;0.000104;7
8;0.000148;7
8;0.000163;7
8;0.000181;7
32;0.000291;7
8;0.000227;7
8;9.1e-05;7
8;0.000212;7
16;0.000345;7
16;0.000439;7
16;0.000294;7
16;0.000247;7
16;0.000317;7
16;0.000307;7
64;0.000553;7
16;0.000314;7
16;0.000295;7
16;0.000463;7
16;0.000409;7
64;0.000517;7
16;0.0002;7
16;0.000316;7
16;0.000427;7
16;0.000381;7
16;0.000158;7
64;0.000503;7
64;0.000857;7
32;0.000475;7
32;0.00053;7
32;0.000584;7
32;0.000557;7
32;0.000588;7
64;0.00081;7
32;0.000608;7
32;0.000651;7
32;0.000589;7
32;0.000672;7
32;0.000554;7
32;0.000585;7
32;0.000481;7
32;0.000734;7
32;0.000727;7
32;0.000485;7
96;0.000921;7
96;0.001488;7
64;0.0012;7
64;0.000893;7
64;0.001185;7
96;0.001056;7
64;0.001111;7
64;0.001016;7
64;0.001346;7
96;0.001323;7
64;0.001284;7
64;0.001313;7
64;0.001242;7
96;0.001265;7
64;0.001012;7
64;0.000863;7
64;0.000618;7
64;0.000826;7
64;0.000895;7
64;0.000776;7
96;0.001296;7
96;0.001267;7
96;0.001291;7
96;0.001328;7
96;0.001268;7
96;0.001295;7
96;0.001293;7
96;0.001293;7
96;0.001268;7
1;0.000412;8
1;0.000308;8
96;0.001385;7
96;0.00137;7
96;0.001323;7
1;0.000317;8
1;0.000322;8
96;0.001365;7
96;0.001363;7
96;0.001349;7
1;0.000523;8
2;0.000305;8
2;0.000299;8
2;0.000321;8
2;0.000301;8
2;0.000293;8
4;0.000283;8
4;0.000234;8
4;0.000245;8
4;0.000275;8
1;0.000294;8
1;0.000287;8
1;0.000307;8
4;0.000327;8
1;0.000287;8
1;0.000303;8
1;0.000287;8
1;0.000287;8
1;0.000294;8
1;0.000286;8
8;0.000225;8
1;0.000304;8
8;0.00022;8
1;0.000287;8
1;0.000304;8
1;0.000301;8
1;0.000286;8
8;0.000303;8
1;0.000287;8
8;0.001111;8
8;0.00021;8
2;0.000262;8
2;0.000354;8
2;0.00031;8
2;0.00027;8
2;0.000442;8
2;0.000383;8
16;0.000215;8
2;0.000384;8
16;0.000247;8
2;0.000267;8
2;0.000322;8
16;0.000224;8
2;0.00033;8
2;0.000331;8
2;0.000326;8
16;0.000202;8
2;0.000245;8
2;0.000391;8
2;0.000426;8
16;0.000263;8
4;0.000314;8
4;0.000321;8
4;0.000413;8
32;0.000367;8
4;0.000259;8
4;0.000392;8
4;0.000376;8
32;0.000327;8
4;0.000251;8
4;0.000307;8
4;0.00032;8
4;0.000351;8
32;0.000399;8
4;0.000297;8
4;0.000269;8
32;0.000261;8
4;0.000325;8
4;0.00032;8
4;0.000334;8
32;0.000351;8
8;0.00033;8
8;0.00058;8
8;0.000375;8
8;0.00024;8
8;0.00038;8
8;0.000298;8
8;0.00032;8
64;0.000641;8
8;0.000201;8
8;0.000185;8
8;0.000363;8
8;0.000324;8
8;0.000295;8
64;0.000633;8
8;0.00031;8
8;0.00035;8
8;0.000394;8
64;0.000587;8
16;0.000473;8
16;0.000374;8
64;0.000476;8
16;0.000521;8
16;0.000437;8
16;0.000496;8
16;0.000367;8
64;0.000477;8
16;0.000457;8
16;0.000538;8
16;0.000848;8
16;0.000602;8
16;0.000686;8
16;0.000498;8
16;0.000441;8
96;0.00064;8
16;0.000438;8
16;0.000335;8
96;0.001137;8
32;0.000645;8
32;0.000818;8
32;0.000719;8
32;0.000475;8
32;0.000521;8
96;0.001236;8
32;0.000387;8
32;0.000397;8
32;0.000658;8
32;0.000706;8
32;0.000824;8
96;0.000798;8
32;0.000623;8
32;0.000731;8
32;0.000845;8
96;0.001044;8
32;0.001029;8
32;0.000784;8
64;0.000585;8
64;0.001052;8
64;0.001036;8
64;0.001008;8
64;0.000783;8
64;0.000939;8
64;0.000925;8
64;0.000987;8
64;0.00104;8
64;0.001038;8
64;0.001023;8
64;0.001544;8
64;0.001399;8
64;0.001122;8
96;0.001436;8
64;0.001384;8
96;0.001302;8
96;0.001411;8
96;0.001322;8
96;0.001449;8
96;0.001097;8
96;0.001455;8
96;0.000914;8
96;0.001874;8
96;0.001738;8
96;0.001706;8
96;0.001103;8
96;0.001137;8
96;0.001085;8
96;0.001145;8
1;0.001179;9
1;0.001145;9
1;0.001152;9
